sourceTaxonId	sourceTaxonName	sourceTaxonPartaffected	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	StudySourceCitation	referenceCitation
EOL:585494	Amaranthus spinosus	stems	RO:0002471	eaten by	EOL:1173054	Disonycha glabrata							Harms, N. E., & Grodowitz, M. J. (2009). Insect herbivores of aquatic and wetland plants in the United States: a checklist from literature. Journal of Aquatic Plant Management (JAPM), 47, 73.	Center, T. D., F. A. Dray, G. P. Jubinsky and M. J. Grodowitz. 1999. Insects and other arthropods that feed on aquatic and wetland plants. U.S. Department of Agriculture, Agricultural Research Service, Technical Bulletin No. 1870.
EOL:585492	Amaranthus retroflexus	http://purl.obolibrary.org/obo/PO_0025034	RO:0002471	eaten by	EOL:1173054	Disonycha glabrata							Harms, N. E., & Grodowitz, M. J. (2009). Insect herbivores of aquatic and wetland plants in the United States: a checklist from literature. Journal of Aquatic Plant Management (JAPM), 47, 73.	Center, T. D., F. A. Dray, G. P. Jubinsky and M. J. Grodowitz. 1999. Insects and other arthropods that feed on aquatic and wetland plants. U.S. Department of Agriculture, Agricultural Research Service, Technical Bulletin No. 1870.
EOL:585494	Amaranthus spinosus	http://purl.obolibrary.org/obo/PO_0025034	RO:0002471	eaten by	EOL:1173054	Disonycha glabrata							Harms, N. E., & Grodowitz, M. J. (2009). Insect herbivores of aquatic and wetland plants in the United States: a checklist from literature. Journal of Aquatic Plant Management (JAPM), 47, 73.	Center, T. D., F. A. Dray, G. P. Jubinsky and M. J. Grodowitz. 1999. Insects and other arthropods that feed on aquatic and wetland plants. U.S. Department of Agriculture, Agricultural Research Service, Technical Bulletin No. 1870.
EOL:597508	Azolla caroliniana	http://purl.obolibrary.org/obo/PO_0025034	RO:0002471	eaten by	EOL:12050113	Pseudolampsis guttata	GEONAMES:4155751	Florida, USA					Harms, N. E., & Grodowitz, M. J. (2009). Insect herbivores of aquatic and wetland plants in the United States: a checklist from literature. Journal of Aquatic Plant Management (JAPM), 47, 73.	Haag, K. H., D. H. Habeck and G. R. Buckingham. 1986. Native insect enemies of aquatic macrophytes other than moths and beetles. Aquatics 8:16- 22.
EOL:597508	Azolla caroliniana	http://purl.obolibrary.org/obo/PO_0025034	RO:0002471	eaten by	EOL:690058	Stenopelmus rufinasus							Harms, N. E., & Grodowitz, M. J. (2009). Insect herbivores of aquatic and wetland plants in the United States: a checklist from literature. Journal of Aquatic Plant Management (JAPM), 47, 73.	Richerson, P. J. and A. A. Grigarick. 1967. The life history of Stenopelmus rufinasus (Coleoptera: Curculionidae). Ann. Entomol. Soc. Am. 60:351-354.
EOL:597510	Azolla filiculoides	http://purl.obolibrary.org/obo/PO_0025034	RO:0002471	eaten by	EOL:690058	Stenopelmus rufinasus							Harms, N. E., & Grodowitz, M. J. (2009). Insect herbivores of aquatic and wetland plants in the United States: a checklist from literature. Journal of Aquatic Plant Management (JAPM), 47, 73.	Richerson, P. J. and A. A. Grigarick. 1967. The life history of Stenopelmus rufinasus (Coleoptera: Curculionidae). Ann. Entomol. Soc. Am. 60:351-354.
EOL:578485	Bacopa caroliniana		RO:0002471	eaten by	EOL:2684800	Paraponyx allionealis	GEONAMES:4597040	South Carolina, USA					Harms, N. E., & Grodowitz, M. J. (2009). Insect herbivores of aquatic and wetland plants in the United States: a checklist from literature. Journal of Aquatic Plant Management (JAPM), 47, 73.	Herlong, D. D. 1979. Aquatic Pyralidae (Lepidoptera: Nymphulinae) in South Carolina. Fla. Entomol. 62(3):188-193.
EOL:578485	Bacopa caroliniana		RO:0002471	eaten by	EOL:2684796	Paraponyx maculalis	GEONAMES:4597040	South Carolina, USA					Harms, N. E., & Grodowitz, M. J. (2009). Insect herbivores of aquatic and wetland plants in the United States: a checklist from literature. Journal of Aquatic Plant Management (JAPM), 47, 73.	Herlong, D. D. 1979. Aquatic Pyralidae (Lepidoptera: Nymphulinae) in South Carolina. Fla. Entomol. 62(3):188-193.
EOL:578485	Bacopa caroliniana		RO:0002471	eaten by	EOL:2684797	Paraponyx obscuralis	GEONAMES:4597040	South Carolina, USA					Harms, N. E., & Grodowitz, M. J. (2009). Insect herbivores of aquatic and wetland plants in the United States: a checklist from literature. Journal of Aquatic Plant Management (JAPM), 47, 73.	Herlong, D. D. 1979. Aquatic Pyralidae (Lepidoptera: Nymphulinae) in South Carolina. Fla. Entomol. 62(3):188-193.
EOL:1149430	Betula glandulosa	http://purl.obolibrary.org/obo/PO_0025034	RO:0002471	eaten by	EOL:1172469	Altica subcostata							Harms, N. E., & Grodowitz, M. J. (2009). Insect herbivores of aquatic and wetland plants in the United States: a checklist from literature. Journal of Aquatic Plant Management (JAPM), 47, 73.	LeSage, L. 1995. Revision of the costate species of Altica Müller of North America North of Mexico (Coleoptera: Chrysomelidae). Can. Entomol. 127:295-411.
